ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111        
Frame 0477    0001 acd98000000000fe  0001 acd9800000013bc2  0001 acd980000000901b  0001 acd9800000005d8f  0001 acd98000000002ba  0001 acd980000000273e  0001 acd98000000000fe  0001 acd98000001eb668  0001 acd9800000b1ee29  0001 acd9800001b9453a  0001 acd98000028254e4  0001 acd98004b4663ea5  0001 acd9801362ce77dc  0001 acd980291c5ac4be  0001 acd98003ffe5fec0  0001 acd9800000000000  0001 acd9800000000001  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b  0001 acd98007400e001b
Frame 0478    0001 acf9c0000000004b  0001 acf9c00000003d16  0001 acf9c000000022f6  0001 acf9c00000000aaa  0001 acf9c00000001145  0001 acf9c0000000077b  0001 acf9c0000000004b  0001 acf9c00000016e8f  0001 acf9c00000191395  0001 acf9c000001c2f1e  0001 acf9c000009910d1  0001 acf9c0006a5dff13  0001 acf9c0006a3f1e80  0001 acf9c00c3efaf2c5  0001 acf9c003fff79400  0001 acf9c00000000000  0001 acf9c00000000001  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e  0001 acf9c008000f801e
Frame 0479    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0480    0001 ad1a0000000000a5  0001 ad1a000000009e7b  0001 ad1a0000000089c3  0001 ad1a000000004087  0001 ad1a0000000011fd  0001 ad1a0000000013b1  0001 ad1a0000000000a5  0001 ad1a000000074161  0001 ad1a00000022185c  0001 ad1a0000009af162  0001 ad1a0000009dbf5e  0001 ad1a00005e6a9d96  0001 ad1a0004c3a59d8a  0001 ad1a0004f25b4074  0001 ad1a0003fff79200  0001 ad1a000000000000  0001 ad1a000000000001  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024  0001 ad1a000980128024
Frame 0481    0001 ad3a400000000054  0001 ad3a400000002fd7  0001 ad3a40000000215d  0001 ad3a4000000009d3  0001 ad3a40000000088d  0001 ad3a4000000005d2  0001 ad3a400000000054  0001 ad3a40000000e764  0001 ad3a40000010cf3a  0001 ad3a4000000fbca6  0001 ad3a400000425fe4  0001 ad3a400046c0f624  0001 ad3a40002a9eb432  0001 ad3a4002f7bd4a52  0001 ad3a4003fff74008  0001 ad3a400000000000  0001 ad3a400000000001  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027  0001 ad3a400a40140027
Frame 0482    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0483    0001 ad5a800000000060  0001 ad5a8000000047a2  0001 ad5a800000003659  0001 ad5a800000001d3b  0001 ad5a800000000587  0001 ad5a8000000008d6  0001 ad5a800000000060  0001 ad5a8000000409ae  0001 ad5a80000015dbe6  0001 ad5a800000219a4b  0001 ad5a800000677ed4  0001 ad5a800055c3aa9e  0001 ad5a8000801040fb  0001 ad5a8004c18851f4  0001 ad5a8003fff3c000  0001 ad5a800000000000  0001 ad5a800000000001  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d  0001 ad5a800bc017002d
Frame 0484    0001 ad7ac000000000ab  0001 ad7ac00000015617  0001 ad7ac00000014082  0001 ad7ac0000000d5e5  0001 ad7ac00000000c3a  0001 ad7ac00000002adc  0001 ad7ac000000000ab  0001 ad7ac000004aa942  0001 ad7ac0000042d725  0001 ad7ac000023d112a  0001 ad7ac00001795bf2  0001 ad7ac000bfd60637  0001 ad7ac01deee931e2  0001 ad7ac00d0070e422  0001 ad7ac003fff7f030  0001 ad7ac00000000000  0001 ad7ac00000000001  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000  0001 ad7ac00080008000
Frame 0485    0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000  0010 0000000000000000
Frame 0486    0101 a000000000000078  0101 a000000000005062  0101 a000000000003cdc  0101 a000000000001def  0101 a000000000001026  0101 a0000000000009e5  0101 a000000000000078  0101 a00000000001ffd5  0101 a00000000015cdc4  0101 a00000000019d663  0101 a0000000005063e8  0101 a00000005a90bd58  0101 a000000044043fe1  0101 a00000028fe6bca4  0101 a0000003fff61084  0101 a000000000000000  0101 a000000000000001  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000  0101 a000000080008000
Frame 0487    0001 a02040000000004e  0001 a020400000002a5d  0001 a02040000000251f  0001 a0204000000016fb  0001 a0204000000003a1  0001 a020400000000531  0001 a02040000000004e  0001 a02040000000cedf  0001 a02040000009900c  0001 a0204000000da7e9  0001 a0204000003519d3  0001 a02040001fdf7dea  0001 a0204000240a0045  0001 a02040021fbcdd2b  0001 a0204003fff20400  0001 a020400000000000  0001 a020400000000001  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003  0001 a020400140020003
Frame 0488    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
