ID: F
Metadata: (strobe,) start of orbit, start of packet, end of packet, valid

      Link              016                    017                    018                    019                    020                    021                    022                    023                    024                    025                    026                    027                    028                    029                    030                    031                    032                    033                    034                    035                    036                    037                    038                    039                    040                    041                    042                    043                    044                    045                    046                    047                    048                    049                    050                    051                    052                    053                    054                    055                    056                    057                    058                    059                    060                    061                    062                    063                    064                    065                    066                    067                    068                    069                    070                    071                    072                    073                    074                    075                    076                    077                    078                    079                    080                    081                    082                    083                    084                    085                    086                    087                    088                    089                    090                    091                    092                    093                    094                    095                    096                    097                    098                    099                    100                    101                    102                    103                    104                    105                    106                    107                    108                    109                    110                    111        
Frame 0390    0001 a58b000000000001  0001 a58b000000000042  0001 a58b000000000042  0001 a58b000000000000  0001 a58b000000000000  0001 a58b000000000008  0001 a58b000000000001  0001 a58b000000000040  0001 a58b000000001868  0001 a58b000000006bc0  0001 a58b000000002858  0001 a58b0000004a7548  0001 a58b000005ab4200  0001 a58b000000cb73c8  0001 a58b000000200000  0001 a58b000000000000  0001 a58b000000000001  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006  0001 a58b000200038006
Frame 0391    0001 a5ab400000000082  0001 a5ab4000000055d4  0001 a5ab4000000041cc  0001 a5ab400000001e50  0001 a5ab4000000009b2  0001 a5ab400000000a9d  0001 a5ab400000000082  0001 a5ab4000000207e3  0001 a5ab400000194cb7  0001 a5ab4000006712df  0001 a5ab4000007ef233  0001 a5ab4000989002b7  0001 a5ab4003e94ed98f  0001 a5ab4005f203bc65  0001 a5ab4003fff7f001  0001 a5ab400000000000  0001 a5ab400000000001  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009  0001 a5ab4002c0050009
Frame 0392    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0393    0001 a5cb800000000082  0001 a5cb8000000054ff  0001 a5cb8000000040f1  0001 a5cb8000000028d2  0001 a5cb800000000197  0001 a5cb800000000a7c  0001 a5cb800000000082  0001 a5cb800000030ebc  0001 a5cb8000001db5db  0001 a5cb8000002a5c58  0001 a5cb8000004cf156  0001 a5cb8000beff49d3  0001 a5cb8000ab874a80  0001 a5cb80023757a12e  0001 a5cb8003fff5e104  0001 a5cb800000000000  0001 a5cb800000000001  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f  0001 a5cb80044008000f
Frame 0394    0001 a5ebc0000000007a  0001 a5ebc00000004ab9  0001 a5ebc0000000436b  0001 a5ebc00000001cca  0001 a5ebc000000002f5  0001 a5ebc00000000933  0001 a5ebc0000000007a  0001 a5ebc0000003fc53  0001 a5ebc0000011cef1  0001 a5ebc000001bc1a6  0001 a5ebc0000049deb1  0001 a5ebc00043250e39  0001 a5ebc0005434652e  0001 a5ebc00252ecb5e7  0001 a5ebc003fff38200  0001 a5ebc00000000000  0001 a5ebc00000000001  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012  0001 a5ebc00500098012
Frame 0395    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0396    0001 a60c00000000003a  0001 a60c000000002a45  0001 a60c000000001fb3  0001 a60c00000000136c  0001 a60c000000000149  0001 a60c00000000053f  0001 a60c00000000003a  0001 a60c000000012035  0001 a60c0000000ad339  0001 a60c0000000443d0  0001 a60c00000054d0a3  0001 a60c00002f4ad2b7  0001 a60c000003a7c1c0  0001 a60c00055cedbb6f  0001 a60c0003fe558000  0001 a60c000000000000  0001 a60c000000000001  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018  0001 a60c0006800c8018
Frame 0397    0001 a62c400000000053  0001 a62c40000000328c  0001 a62c400000002ec8  0001 a62c400000000f5d  0001 a62c40000000029f  0001 a62c400000000631  0001 a62c400000000053  0001 a62c40000001db45  0001 a62c4000000bae34  0001 a62c4000000c83f7  0001 a62c400000491100  0001 a62c40001ffd77b8  0001 a62c400019752773  0001 a62c40035f4c7e36  0001 a62c4003fff03000  0001 a62c400000000000  0001 a62c400000000001  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b  0001 a62c4007400e001b
Frame 0398    0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000  0000 0000000000000000
Frame 0399    0001 a64c800000000001  0001 a64c800000000036  0001 a64c800000000036  0001 a64c800000000000  0001 a64c800000000000  0001 a64c800000000006  0001 a64c800000000001  0001 a64c800000000024  0001 a64c80000000124e  0001 a64c8000000050c4  0001 a64c800000005ef8  0001 a64c80000037d7f6  0001 a64c8000043f2e58  0001 a64c800005df2d60  0001 a64c800000200000  0001 a64c800000000000  0001 a64c800000000001  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021  0001 a64c8008c0110021
Frame 0400    0001 a66cc000000001bb  0001 a66cc0000002409d  0001 a66cc0000001a589  0001 a66cc0000000d8ac  0001 a66cc00000004288  0001 a66cc000000047a8  0001 a66cc000000001bb  0001 a66cc0000023087c  0001 a66cc00000b6ba99  0001 a66cc00002ef45d4  0001 a66cc0000262b7aa  0001 a66cc00319b00fc9  0001 a66cc01ec89edc2a  0001 a66cc014611f21f6  0001 a66cc003fff7ff60  0001 a66cc00000000000  0001 a66cc00000000001  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024  0001 a66cc00980128024
